HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Portugal,Republic of Ireland,1991,2,0,2
Argentina,Korea,1991,0,1,1
Republic of Ireland,Korea,1991,1,1,2
Portugal,Argentina,1991,3,0,3
Republic of Ireland,Argentina,1991,2,2,4
Portugal,Korea,1991,1,0,1
Mexico,Sweden,1991,3,0,3
Brazil,Ivory Coast,1991,2,1,3
Brazil,Mexico,1991,2,2,4
Ivory Coast,Sweden,1991,1,4,5
Ivory Coast,Mexico,1991,1,1,2
Brazil,Sweden,1991,2,0,2
Trinidad and Tobago,Australia,1991,0,2,2
Egypt,Soviet Union,1991,0,1,1
Trinidad and Tobago,Egypt,1991,0,6,6
Australia,Soviet Union,1991,1,0,1
Australia,Egypt,1991,1,0,1
Trinidad and Tobago,Soviet Union,1991,0,4,4
England,Spain,1991,0,1,1
Syria,Uruguay,1991,1,0,1
Spain,Uruguay,1991,6,0,6
England,Syria,1991,3,3,6
Spain,Syria,1991,0,0,0
England,Uruguay,1991,0,0,0
Portugal,Mexico,1991,2,1,3
Brazil,Korea,1991,5,1,6
Australia,Syria,1991,1,1,2
Spain,Soviet Union,1991,1,3,4
Brazil,Soviet Union,1991,3,0,3
Portugal,Australia,1991,1,0,1
Australia,Soviet Union,1991,1,1,2
Portugal,Brazil,1991,0,0,0
Australia,Colombia,1993,2,1,3
Russia,Cameroon,1993,2,0,2
Colombia,Cameroon,1993,3,2,5
Australia,Russia,1993,3,1,4
Colombia,Russia,1993,1,3,4
Australia,Cameroon,1993,0,2,2
Portugal,Germany,1993,0,1,1
Uruguay,Ghana,1993,1,1,2
Germany,Ghana,1993,2,2,4
Portugal,Uruguay,1993,1,2,3
Germany,Uruguay,1993,1,2,3
Portugal,Ghana,1993,0,2,2
South Korea,England,1993,1,1,2
Turkey,United States,1993,0,6,6
England,United States,1993,1,0,1
South Korea,Turkey,1993,1,1,2
England,Turkey,1993,1,0,1
South Korea,United States,1993,2,2,4
Mexico,Norway,1993,3,0,3
Brazil,Saudi Arabia,1993,0,0,0
Norway,Saudi Arabia,1993,0,0,0
Mexico,Brazil,1993,1,2,3
Norway,Brazil,1993,0,2,2
Mexico,Saudi Arabia,1993,2,1,3
Uruguay,Australia,1993,1,2,3
Russia,Ghana,1993,0,3,3
England,Mexico,1993,0,0,0
Brazil,United States,1993,3,0,3
Australia,Brazil,1993,0,2,2
Ghana,England,1993,2,1,3
England,Australia,1993,2,1,3
Ghana,Brazil,1993,1,2,3
Qatar,Russia,1995,1,1,2
Syria,Brazil,1995,0,6,6
Qatar,Syria,1995,0,1,1
Russia,Brazil,1995,0,0,0
Qatar,Brazil,1995,0,2,2
Russia,Syria,1995,2,0,2
Burundi,Spain,1995,1,5,6
Chile,Japan,1995,2,2,4
Burundi,Chile,1995,1,1,2
Spain,Japan,1995,2,1,3
Burundi,Japan,1995,0,2,2
Spain,Chile,1995,6,3,9
Netherlands,Argentina,1995,0,1,1
Honduras,Portugal,1995,2,3,5
Netherlands,Honduras,1995,7,1,8
Argentina,Portugal,1995,0,1,1
Netherlands,Portugal,1995,0,3,3
Argentina,Honduras,1995,4,2,6
Australia,Costa Rica,1995,2,0,2
Cameroon,Germany,1995,1,1,2
Australia,Cameroon,1995,2,3,5
Costa Rica,Germany,1995,2,1,3
Australia,Germany,1995,1,1,2
Costa Rica,Cameroon,1995,1,3,4
Brazil,Japan,1995,2,1,3
Spain,Russia,1995,4,1,5
Portugal,Australia,1995,2,1,3
Cameroon,Argentina,1995,0,2,2
Brazil,Portugal,1995,1,0,1
Spain,Argentina,1995,0,3,3
Portugal,Spain,1995,3,2,5
Brazil,Argentina,1995,0,2,2
Malaysia,Morocco,1997,1,3,4
Uruguay,Belgium,1997,3,0,3
Malaysia,Uruguay,1997,1,3,4
Morocco,Belgium,1997,1,1,2
Malaysia,Belgium,1997,0,3,3
Morocco,Uruguay,1997,0,0,0
South Korea,South Africa,1997,0,0,0
France,Brazil,1997,0,3,3
South Korea,France,1997,2,4,6
South Africa,Brazil,1997,0,2,2
South Korea,Brazil,1997,3,10,13
South Africa,France,1997,2,4,6
Ghana,Republic of Ireland,1997,2,1,3
China,United States,1997,0,1,1
Ghana,China,1997,1,1,2
Republic of Ireland,United States,1997,2,1,3
Ghana,United States,1997,1,0,1
Republic of Ireland,China,1997,1,1,2
Japan,Spain,1997,1,2,3
Costa Rica,Paraguay,1997,1,1,2
Japan,Costa Rica,1997,6,2,8
Spain,Paraguay,1997,2,1,3
Japan,Paraguay,1997,3,3,6
Spain,Costa Rica,1997,4,0,4
Hungary,Argentina,1997,0,3,3
Australia,Canada,1997,0,0,0
Hungary,Australia,1997,0,1,1
Argentina,Canada,1997,2,1,3
Hungary,Canada,1997,1,2,3
Argentina,Australia,1997,3,4,7
Mexico,United Arab Emirates,1997,5,0,5
Ivory Coast,England,1997,1,2,3
Mexico,Ivory Coast,1997,1,1,2
United Arab Emirates,England,1997,0,5,5
Mexico,England,1997,0,1,1
United Arab Emirates,Ivory Coast,1997,2,0,2
Brazil,Belgium,1997,10,0,10
Uruguay,United States,1997,3,0,3
Mexico,France,1997,0,1,1
Republic of Ireland,Morocco,1997,2,1,3
Australia,Japan,1997,0,1,1
England,Argentina,1997,1,2,3
Ghana,United Arab Emirates,1997,3,0,3
Spain,Canada,1997,2,0,2
Uruguay,France,1997,1,1,2
Argentina,Brazil,1997,2,0,2
Spain,Republic of Ireland,1997,0,1,1
Japan,Ghana,1997,1,2,3
Republic of Ireland,Argentina,1997,0,1,1
Uruguay,Ghana,1997,3,2,5
Ghana,Republic of Ireland,1997,1,2,3
Uruguay,Argentina,1997,1,2,3
Nigeria,Costa Rica,1999,1,1,2
Germany,Paraguay,1999,4,0,4
Nigeria,Germany,1999,2,0,2
Costa Rica,Paraguay,1999,1,3,4
Nigeria,Paraguay,1999,1,2,3
Costa Rica,Germany,1999,2,1,3
Ghana,Croatia,1999,1,1,2
Argentina,Kazakhstan,1999,1,0,1
Ghana,Argentina,1999,1,0,1
Croatia,Kazakhstan,1999,5,1,6
Ghana,Kazakhstan,1999,3,0,3
Croatia,Argentina,1999,0,0,0
Australia,Saudi Arabia,1999,3,1,4
Mexico,Republic of Ireland,1999,1,0,1
Australia,Mexico,1999,1,3,4
Saudi Arabia,Republic of Ireland,1999,0,2,2
Australia,Republic of Ireland,1999,0,4,4
Saudi Arabia,Mexico,1999,1,1,2
Uruguay,Mali,1999,1,2,3
South Korea,Portugal,1999,1,3,4
Uruguay,South Korea,1999,1,0,1
Mali,Portugal,1999,2,1,3
Uruguay,Portugal,1999,0,0,0
Mali,South Korea,1999,2,4,6
Cameroon,Japan,1999,2,1,3
