Home,Score,Away,year
England ,1–0, Turkey,1993
South Korea ,2–2, United States,1993
Mexico ,3–0, Norway,1993
Brazil ,0–0, Saudi Arabia,1993
Norway ,0–0, Saudi Arabia,1993
Mexico ,1–2, Brazil,1993
Norway ,0–2, Brazil,1993
Mexico ,2–1, Saudi Arabia,1993
Uruguay ,1–2 (a.e.t.), Australia,1993
Russia ,0–3, Ghana,1993
England ,0–0 (a.e.t.), Mexico,1993
Brazil ,3–0, United States,1993
Australia ,0–2, Brazil,1993
Ghana ,2–1, England,1993
England ,2–1, Australia,1993
Ghana ,1–2, Brazil,1993
Qatar ,1–1, Russia,1995
Syria ,0–6, Brazil,1995
Qatar ,0–1, Syria,1995
Russia ,0–0, Brazil,1995
Qatar ,0–2, Brazil,1995
Russia ,2–0, Syria,1995
Burundi ,1–5, Spain,1995
Chile ,2–2, Japan,1995
Burundi ,1–1, Chile,1995
Spain ,2–1, Japan,1995
Burundi ,0–2, Japan,1995
Spain ,6–3, Chile,1995
Netherlands ,0–1, Argentina,1995
Honduras ,2–3, Portugal,1995
Netherlands ,7–1, Honduras,1995
Argentina ,0–1, Portugal,1995
Netherlands ,0–3, Portugal,1995
Argentina ,4–2, Honduras,1995
Australia ,2–0, Costa Rica,1995
Cameroon ,1–1, Germany,1995
Australia ,2–3, Cameroon,1995
Costa Rica ,2–1, Germany,1995
Australia ,1–1, Germany,1995
Costa Rica ,1–3, Cameroon,1995
Brazil ,2–1, Japan,1995
Spain ,4–1, Russia,1995
Portugal ,2–1 (a.e.t.), Australia,1995
Cameroon ,0–2, Argentina,1995
Brazil ,1–0, Portugal,1995
Spain ,0–3, Argentina,1995
Portugal ,3–2, Spain,1995
Brazil ,0–2, Argentina,1995
Malaysia ,1–3, Morocco,1997
Uruguay ,3–0, Belgium,1997
Malaysia ,1–3, Uruguay,1997
Morocco ,1–1, Belgium,1997
Malaysia ,0–3, Belgium,1997
Morocco ,0–0, Uruguay,1997
South Korea ,0–0, South Africa,1997
France ,0–3, Brazil,1997
South Korea ,2–4, France,1997
South Africa ,0–2, Brazil,1997
South Korea ,3–10, Brazil,1997
South Africa ,2–4, France,1997
Ghana ,2–1, Republic of Ireland,1997
China ,0–1, United States,1997
Ghana ,1–1, China,1997
Republic of Ireland ,2–1, United States,1997
Ghana ,1–0, United States,1997
Republic of Ireland ,1–1, China,1997
Japan ,1–2, Spain,1997
Costa Rica ,1–1, Paraguay,1997
Japan ,6–2, Costa Rica,1997
Spain ,2–1, Paraguay,1997
Japan ,3–3, Paraguay,1997
Spain ,4–0, Costa Rica,1997
Hungary ,0–3, Argentina,1997
Australia ,0–0, Canada,1997
Hungary ,0–1, Australia,1997
Argentina ,2–1, Canada,1997
Hungary ,1–2, Canada,1997
Argentina ,3–4, Australia,1997
Mexico ,5–0, United Arab Emirates,1997
Ivory Coast ,1–2, England,1997
Mexico ,1–1, Ivory Coast,1997
United Arab Emirates ,0–5, England,1997
Mexico ,0–1, England,1997
United Arab Emirates ,2–0, Ivory Coast,1997
Brazil ,10–0, Belgium,1997
Uruguay ,3–0, United States,1997
Mexico ,0–1, France,1997
Republic of Ireland ,2–1 (a.e.t.), Morocco,1997
Australia ,0–1, Japan,1997
England ,1–2, Argentina,1997
Ghana ,3–0, United Arab Emirates,1997
Spain ,2–0, Canada,1997
